model,project,av_pd,av_pf,av_f_measure,av_g_mesure,av_balance,av_MCC, av_AUC
LDJDA,ant-1-3,0.83608,0.33349,0.63421,0.73558,0.72813,0.37478,0.80713,
LDJDA,ant-1-6,0.77011,0.24151,0.70653,0.76421,0.76415,0.479,0.78463,
LDJDA,ant-1-7,0.74639,0.27902,0.65248,0.73346,0.73337,0.40006,0.7461,
LDJDA,ivy-1.1,0.5155,0.19444,0.5514,0.62395,0.62886,0.32974,0.72319,
LDJDA,ivy-2.0,0.72976,0.29625,0.51878,0.71395,0.71499,0.28967,0.75797,
LDJDA,jedit-3.2,0.60491,0.2251,0.59837,0.67362,0.67203,0.38153,0.73479,
LDJDA,jedit-4.0,0.64657,0.23374,0.60688,0.69982,0.69775,0.38529,0.72935,
LDJDA,jedit-4.1,0.67706,0.23343,0.63555,0.71832,0.7167,0.4136,0.7631,
LDJDA,jedit-4.2,0.77036,0.27185,0.59036,0.74691,0.74635,0.36028,0.79501,
LDJDA,log4j-1-0,0.77526,0.22364,0.71091,0.77029,0.77042,0.49973,0.82269,
LDJDA,log4j-1-1,0.71429,0.15873,0.71076,0.7711,0.76833,0.55265,0.82977,
LDJDA,lucene-2-0,0.64615,0.26827,0.65244,0.68617,0.68576,0.3796,0.72207,
LDJDA,lucene-2-2,0.49779,0.32181,0.52621,0.57098,0.5757,0.17635,0.60347,
LDJDA,lucene-2-4,0.50713,0.23799,0.54309,0.6067,0.61036,0.27074,0.68489,
LDJDA,poi-1-5,0.49078,0.22917,0.52803,0.59953,0.60504,0.26399,0.64976,
LDJDA,poi-2-0,0.60135,0.30632,0.43609,0.64408,0.64439,0.20068,0.63418,
LDJDA,poi-3-0,0.50107,0.13106,0.54747,0.63559,0.63522,0.36958,0.71625,
LDJDA,synapse-1-0,0.8375,0.36312,0.5204,0.71769,0.7118,0.2917,0.84411,
LDJDA,synapse-1-1,0.64361,0.28796,0.58951,0.66338,0.67122,0.3226,0.68937,
LDJDA,synapse-1-2,0.60116,0.22235,0.59415,0.67,0.6743,0.37632,0.7337,
LDJDA,tomcat,0.7572,0.29722,0.48763,0.72562,0.72633,0.27817,0.75089,
LDJDA,xerces-1-3,0.60932,0.26747,0.49825,0.66169,0.66358,0.2633,0.69752,
LDJDA,xerces-1-4,0.41179,0.090508,0.46339,0.56686,0.57915,0.29867,0.45974,
